url_rotten,rt_tomatometer,rt_audience_score,rt_critics_consensus
https://www.rottentomatoes.com/m/headhunter_the_assessment_weekend,,,
https://www.rottentomatoes.com/m/lake_dead,,18,
https://www.rottentomatoes.com/m/in_your_hands,60,34,
https://www.rottentomatoes.com/m/the-terminators,,7,
https://www.rottentomatoes.com/m/adverse,73,80,
https://www.rottentomatoes.com/m/caesar_and_ottos_deadly_xmas,,,
https://www.rottentomatoes.com/m/las-poquianchis,,92,
https://www.rottentomatoes.com/m/the_bowery_boys_meet_the_monsters,,0,
https://www.rottentomatoes.com/m/blood_angels,,33,
https://www.rottentomatoes.com/m/raaz_reboot,,,
https://www.rottentomatoes.com/m/hunger,,,
https://www.rottentomatoes.com/m/fade,,,
https://www.rottentomatoes.com/m/pwera_usog,,,
https://www.rottentomatoes.com/m/the_intrusion,,,
https://www.rottentomatoes.com/m/the_curse_of_buckout_road,63,64,
https://www.rottentomatoes.com/m/fatal_frames,,22,
https://www.rottentomatoes.com/m/subconscious,,,
https://www.rottentomatoes.com/m/nightmare,,50,
https://www.rottentomatoes.com/m/taught_in_cold_blood,,,
https://www.rottentomatoes.com/m/devour,,,
https://www.rottentomatoes.com/m/method_acting,,,
https://www.rottentomatoes.com/m/queen_of_spades_through_the_looking_glass,,,
https://www.rottentomatoes.com/m/blind_beast,100,80,
https://www.rottentomatoes.com/m/the_divine_fury,44,90,
https://www.rottentomatoes.com/m/wild_bones,,,
https://www.rottentomatoes.com/m/loophole,,25,
https://www.rottentomatoes.com/m/prey,,,
https://www.rottentomatoes.com/m/writers_block,,,
https://www.rottentomatoes.com/m/the_kindred,64,36,
https://www.rottentomatoes.com/m/utopia,,27,
https://www.rottentomatoes.com/m/bad_fish,,,
https://www.rottentomatoes.com/m/johan,,62,
https://www.rottentomatoes.com/m/family_reunion,,,
https://www.rottentomatoes.com/m/hobgoblins,,11,
https://www.rottentomatoes.com/m/the_warning,,,
https://www.rottentomatoes.com/m/alien_goddess,,,
https://www.rottentomatoes.com/m/time_share,,60,
https://www.rottentomatoes.com/m/sound,,,
https://www.rottentomatoes.com/m/the_cut,58,67,"Ambitious and well-intentioned,The Cutis visually arresting and at times, even emotionally piercing, but ultimately fails to transcend."
https://www.rottentomatoes.com/m/remorse,,,
https://www.rottentomatoes.com/m/shadow_of_god,,,
https://www.rottentomatoes.com/m/the_needle,,71,
https://www.rottentomatoes.com/m/violator,,,
https://www.rottentomatoes.com/m/viola,,,
https://www.rottentomatoes.com/m/i-am-the-ripper,,29,
https://www.rottentomatoes.com/m/vampire_sisters,,50,
