tconst,tmdb_id,title,primaryTitle,genres,averageRating,numVotes
tt17677404,984638,Hysteric,Hysteric,,5.7,76.0
tt1773382,228562,Apostle of Dracula,Apostle of Dracula,"Horror, Mystery",3.8,99.0
tt1773638,547331,Pursuit of a Legend,Pursuit of a Legend,"Horror, Mystery, Thriller",5.5,84.0
tt1773670,858653,Sealed Fates,Sealed Fates,,,
tt1774562,643467,Horror in Facebook,Horror in Facebook,Horror,4.3,28.0
tt1774637,539310,The Wood Sprite,The Wood Sprite,,6.4,6.0
tt1779459,467782,Oboeteiru,Oboeteiru,Mystery,,
tt17823062,882835,Paradise Lost,Paradise Lost,Horror,4.1,59.0
tt1785635,416160,The Vault,The Vault,"Crime, Horror, Mystery",4.9,14340.0
tt1788391,74725,Kill List,Kill List,"Crime, Drama, Horror",6.3,49796.0
tt18076250,996503,Snake Hotel,Snake Hotel,"Horror, Sci-Fi",2.4,313.0
tt1808076,120881,Documenting the Grey Man,Documenting the Grey Man,Horror,2.6,381.0
tt1810674,434303,Lamp Post Lane,Lamp Post Lane,"Horror, Mystery, Thriller",7.9,68.0
tt1810793,37869,The House of Orphans,The House of Orphans,"Drama, Horror, Thriller",2.6,234.0
tt1813609,197919,A Haunting at Silver Falls,A Haunting at Silver Falls,"Horror, Thriller",4.8,3044.0
tt1815664,641991,Dead Crazy,Dead Crazy,Horror,8.0,24.0
tt1815731,300393,HalloweeNight,HalloweeNight,,4.4,123.0
tt1815849,95519,Native,Native,"Horror, Thriller",3.6,401.0
tt18161102,1120869,Run from Hell,Run from Hell,Horror,3.5,59.0
tt18247358,1008385,Amityville - The Resurgence,Amityville - The Resurgence,Documentary,7.5,73.0
tt18255952,1364992,Forgive Me Father,Forgive Me Father,"Horror, Thriller",3.1,146.0
tt1825650,147232,Always From Darkness,Always from Darkness,Horror,3.2,56.0
tt18265686,1058073,Sloppy Seconds,Sloppy Seconds,,,
tt1826736,268091,Low,Low,"Drama, Thriller",5.5,32.0
tt18279174,1375402,Bitter Souls,Bitter Souls,Horror,3.5,204.0
tt18284598,941023,Tales of the Bizarre: 2003 Fall Special,Yo nimo Kimyou na Monogatari: 2003 Fall Special,"Drama, Fantasy, Horror",,
tt1832476,1336741,Survivor Type,Survivor Type,,7.7,23.0
tt18352618,1099702,The Watcher,The Watcher,,8.6,19.0
tt18352672,943064,Bahay na Pula,Bahay na pula,Horror,4.1,124.0
tt18362708,942251,The Resurrection of Charles Manson,The Resurrection of Charles Manson,"Horror, Thriller",3.2,474.0
tt1838663,1248262,She Feast,She Feast,,5.2,40.0
tt1845848,118625,Pleasures of the Damned,Pleasures of the Damned,"Comedy, Horror",4.5,87.0
tt1848939,1031134,Hungry Hickory,Hungry Hickory,,6.5,82.0
tt1853565,628731,Found Footage,Found Footage,Horror,4.3,473.0
tt1857842,133463,Redd Inc.,Inhuman Resources,"Horror, Thriller",5.9,3076.0
tt1859502,211686,High Desert,High Desert,Horror,4.1,51.0
tt1860182,1340906,Black Goat,Black Goat,,5.8,111.0
tt18603204,851502,Honto Ni Atta! Noroi No Video 17,Honto Ni Atta! Noroi No Video 17,,,
tt18648464,1309836,Dinner,Dinner,,8.2,24.0
tt1865474,317688,Revenge of Nini Towok,Pembalasan Nini Towok,Horror,5.4,151.0
tt1866101,106559,The Resurrection of Angel Eyes,Bangkitnya Si Mata Malaikat,"Action, Horror",5.8,11.0
tt1874649,151193,Night Claws,Night Claws,Horror,2.6,752.0
tt1878841,257345,The Darkness,The Darkness,"Horror, Thriller",4.5,17957.0
tt1879103,450606,A Function,A Function,,6.6,71.0
tt1881060,165567,Static,Static,"Drama, Horror, Mystery",5.3,3829.0
tt1885336,12674,Perversion,Perversion,,7.1,59.0
tt1885411,1187609,The Devil Went Down To Islington,The Devil Went Down to Islington,"Comedy, Horror",6.7,42.0
tt1890375,138496,Crawlspace,Crawlspace,"Action, Horror, Mystery",4.8,3306.0
tt1890513,66841,Ragini MMS,Ragini MMS,"Drama, Horror, Mystery",5.1,3025.0
tt18938222,1020182,The Christmas Tapes,The Christmas Tapes,"Comedy, Horror",5.0,297.0
tt18939060,383031,Honto ni Atta! Noroi no Video Vol. 59,Honto ni Atta! Noroi no Video Vol. 59,,,
tt1895528,625712,Seven Days in the Woods,Seven Days in the Woods,,6.8,14.0
tt18982374,840320,Not Found 1,Not Found 1,,,
tt1904853,659412,Bonehead,Bonehead,,,
tt1905029,659416,Summer of the Mummy,Summer of the Mummy,,,
tt1907768,69088,Reaction Time,Tempo di reazione,"Drama, Horror, Thriller",7.1,103.0
tt1908469,372246,Bunny the Killer Thing,Bunny the Killer Thing,,5.0,178.0
tt1918974,240675,Nekro,Nekro,,4.3,101.0
tt19263764,1151969,Fable,Fable (Ajab),"Drama, Fantasy, Horror",7.1,18.0
tt1928129,899996,Bloodtraffick,Bloodtraffick,,5.6,59.0
tt19315088,929428,The Leerie,The Leerie,,6.7,37.0
tt1932691,70714,Penunggu Istana,Penunggu Istana,"Horror, Mystery, Thriller",5.2,27.0
tt19351932,1325456,Would You?,Would You?,,,
tt19353496,1053892,Warmth,Warmth,,,
tt19386928,1337295,Devil's Work,Devil's Work,"Horror, Mystery",,
tt19388116,743988,Lady in the Sea of Blood,Lady in the Sea of Blood,,3.0,19.0
tt1939659,133805,Carrie,Carrie,"Drama, Horror, Thriller",5.8,155607.0
tt19407562,1462960,The Shutter,The Shutter,,,
tt1941466,171823,Blood-C: The Last Dark,Blood-C: The Last Dark,"Action, Adventure, Animation",6.1,1564.0
tt1942073,970106,Story of Jang-hwa and Hong-ryeon,Janghwahong ryeonjeon,"Drama, Fantasy, History",,
tt1942828,201024,Children of Sorrow,Children of Sorrow,"Horror, Thriller",4.1,705.0
tt1943802,323457,She,She,"Horror, Thriller",,
tt1946131,310592,Alien Zombie Invasion,Alien Zombie Invasion,"Comedy, Horror, Sci-Fi",4.1,69.0
tt1949263,1665470,When the Bough Breaks,When the Bough Breaks,,,
tt19496382,553010,Out There Halloween Mega Tape,Out There Halloween Mega Tape,"Comedy, Horror",7.0,226.0
tt1950284,211825,The Death Lullaby,The Death Lullaby,,6.8,251.0
tt19513676,1234861,It's with You Now,It's with You Now,Horror,,
tt1961236,259544,Dead on Appraisal,Dead on Appraisal,"Comedy, Horror",3.6,142.0
tt1961328,1201124,Gokumon Jima: Kaimei Hen,Gokumon-jima - Kaimei-hen,Drama,,
tt19638026,1117705,No More,No More,,9.5,7.0
tt1964448,1267247,A Popular Kill,A Popular Kill,,3.6,10.0
tt1966380,170332,Caruncula,Caruncula,,6.9,39.0
tt1966581,960629,Tale of Blood,Tale of Blood,,,
tt19716708,1189317,Chicken Surprise,Chicken Surprise,,,
tt19759874,1017920,Blender,Blender,,,
tt1977001,419315,Anomalous,Anomalous,"Fantasy, Horror, Thriller",4.6,552.0
tt1979313,980060,Roadside Killer: A Very Special Black Christmas,Roadside Killer: A Very Special Black Christmas,,4.7,13.0
tt1980198,18754,Mysterious Island,Mysterious Island,Horror,2.9,382.0
tt1982804,107425,Nuns That Bite,Nuns That Bite,Horror,6.3,118.0
tt19847024,1110964,Keitai Ura Site,Keitai ura site,Horror,,
tt1985235,272263,The Last Light: An Irish Ghost Story,The Last Light,Horror,3.3,212.0
tt19878408,872848,True Scary Story - Accident Property Entertainer 3,True Scary Story - Accident Property Entertainer 3,"Comedy, Horror",,
tt19882786,1110721,Submitted Ghost Videos That Cannot be Broadcast 4,Submitted Ghost Videos That Cannot be Broadcast 4,,,
tt19882796,1134621,Submitted Ghost Videos That Cannot be Broadcast 5,Submitted Ghost Videos That Cannot be Broadcast 5,,,
tt19882810,1134625,Submitted Ghost Videos That Cannot be Broadcast 6,Submitted Ghost Videos That Cannot be Broadcast 6,,,
tt1988621,124470,Exists,Exists,"Action, Adventure, Horror",5.2,12228.0
tt19891312,1117191,I Really Don't Want to Hear it! Horror Stories from the Mountains: Part 1,I Really Don't Want to Hear it! Horror Stories from the Mountains: Part 1,,,
tt1999180,168131,The Headless Lover,The Headless Lover,,6.7,22.0
tt2005190,137902,Darkwood Manor,Darkwood Manor,"Comedy, Horror",5.6,83.0
tt2010941,424689,Cars 3,Cars 3,,7.4,56.0
tt20117176,1079937,The Monster Mash,The Monster Mash,Horror,4.0,134.0
tt2018130,86328,Terrifier,Terrifier,,6.3,5052.0
tt20214514,840786,Demonio Eclipse Rojo,Demonio Eclipse Rojo,Horror,4.7,16.0
tt20234128,996885,Watchdog,Watchdog,"Horror, Thriller",3.8,143.0
tt20238148,804711,Haunted Tales,Haunted Tales,Horror,5.0,52.0
tt20244358,1459412,Chupacabra,Chupacabra,,,
tt20316704,871993,No es para el susto,No es para el susto,,,
tt2034682,211618,Fractured Minds,Fractured Minds,,6.9,24.0
tt2040295,223732,Bloody Homecoming,Bloody Homecoming,Horror,3.7,809.0
tt2041301,658883,Bad to the Jones,Bad to the Jones,"Action, Comedy, Horror",6.0,87.0
tt20415146,1044700,Sealed Video 59: Twist,Sealed Video 59: Twist,,,
tt20423454,1324386,The Door,The Door,,5.8,40.0
tt20426252,1052321,Psychic Yuranbon 2: Curse of the Possessed Spirit,Psychic Yuranbon 2: Curse of the Possessed Spirit,,,
tt2044887,533071,"The Thing: 27,000 Hours","The Thing: 27,000 Hours",,6.2,43.0
tt20450662,1160422,Psychic Manjara VR: Ai Ningyo - LoveReplica,Psychic Manjara VR: Ai Ningyo - LoveReplica,,,
tt20452218,976830,The Deep Dark,The Deep Dark,"Adventure, Horror",5.6,3253.0
tt2049631,249921,Silent but Deadly,Silent But Deadly,"Comedy, Horror",4.7,187.0
tt20517566,1151889,Müsfer: Cin Kabilesi,Müsfer: Cin Kabilesi,Horror,3.3,27.0
tt2055665,101611,Left 4 Dead - The Movie,Left 4 Dead: The Movie,Horror,5.9,152.0
tt2061824,1371328,The Killer Krapper,The Killer Krapper,,,
tt2062598,959663,Myth or Fact: The Talbert Terror,Myth or Fact: The Talbert Terror,,,
tt2065881,408527,Believe the Dance,Believe the Dance,,6.2,42.0
tt2072230,295830,Attack on Titan,Attack on Titan Part 1,"Action, Adventure, Drama",5.0,16511.0
tt2073713,470713,Zombie Mayhem,Zombie Mayhem,,6.9,16.0
tt2075310,81914,Sleepwalker,Sleepwalker,"Crime, Drama, Horror",4.7,199.0
tt20754602,1007147,Voodoo in My Heart,Voodoo in My Heart,,,
tt20768872,988265,Stop Dead,Stop Dead,,6.2,36.0
tt20783518,1012362,Slasher Squad,Slasher Squad,,6.4,14.0
tt2080356,620953,Paranormal Proof,Paranormal Proof,"Horror, Thriller",3.0,116.0
tt2082276,363987,Fractional,Fractional,"Crime, Horror, Thriller",4.7,244.0
tt20849108,1082789,Like Every Thursday,Like Every Thursday,,6.0,6.0
tt20850814,983420,Psychic Vampire,Psychic Vampire,"Comedy, Horror",4.1,43.0
tt20859526,759321,El barril de amontillado,El barril de amontillado,,5.5,13.0
tt20871662,988680,Shadow Self,Shadow Self,,7.0,9.0
tt2087650,236336,“Sredni Vashtar” by Saki,“Sredni Vashtar” by Saki,,6.2,64.0
tt2087994,107423,They All Must Die!,They All Must Die!,,3.9,176.0
tt2091423,147965,Symphony In Blood Red,Symphony in Blood Red,Horror,3.8,254.0
tt2097930,1378781,The Giant,The Giant,,6.4,21.0
tt2099633,273946,Hostage,Entity,"Drama, Horror, Thriller",3.1,142.0
tt21031568,1030916,Eucaristía,Eucaristía,,,
tt2103217,103620,Maniac,Maniac,"Crime, Horror, Thriller",6.1,42726.0
tt21032664,1236469,Night Shoot,Night Shoot,"Horror, Thriller",4.4,141.0
tt21077742,1029027,Motion at Your Door,Motion at Your Door,,9.2,7.0
tt2109127,362373,Eaters,Eaters,Horror,2.8,621.0
tt2111274,662802,Bleed 4 Me,Bleed 4 Me,Horror,5.4,33.0
tt21151212,1059345,Cult Killer,Cult Killer,"Adventure, Crime, Drama",4.8,3411.0
tt21159164,1538270,Knock,Knock,,,
tt21186888,1023125,The Assignment,The Assignment,,,
tt21217658,1234042,Tales of Terror: G Men Revival Edition,Tales of Terror: G Men Revival Edition,Horror,,
tt21219048,1417478,Janus,Janus,,,
tt21223062,1039958,Nightmare at Camp Bloodbath,Nightmare at Camp Bloodbath,,5.9,24.0
tt21223366,990493,The Woman Who Loses Herself,The Woman Who Loses Herself,"Horror, Thriller",4.9,476.0
tt2123145,329841,...And Here No Devil Can Hurt You,And Here No Devil Can Hurt You,"Horror, Mystery, Thriller",3.2,120.0
tt21235444,999747,Walls,Walls,"Drama, Horror, Thriller",3.7,70.0
tt2124549,731103,Resident Evil: First Hour,Resident Evil: First Hour,,6.5,102.0
tt21251276,1124729,Cursed Psychic Video XXX (Triple X) Masterpiece Selection 4,Cursed Psychic Video XXX (Triple X) Masterpiece Selection 4,,,
tt21257868,1033883,Satan Lives: The Rise of the Illuminati Hotties,Satan Lives: The Rise of the Illuminati Hotties,Horror,5.9,62.0
tt21263500,877260,Contorted,Contorted,"Horror, Mystery",4.5,236.0
tt21265558,1200345,Viewing Prohibited TABOO Video: Masterpiece Selection - Psychic Edition 1,Viewing Prohibited TABOO Video: Masterpiece Selection - Psychic Edition 1,,,
tt2128441,277361,Delicacy,Delicacy,,5.8,183.0
tt21293116,1027306,Attached,Attached,,4.5,20.0
tt21307994,994143,Skinamarink,Skinamarink,"Horror, Mystery",4.7,20792.0
tt21315776,1014649,Beacon,Beacon,,6.4,66.0
tt2132497,367352,The Snow White,The Snow White,"Horror, Thriller",5.8,31.0
tt2132514,1132640,Ultra Violence,Ultra Violence,"Horror, Mystery, Thriller",6.8,19.0
tt21328874,1062583,The Wolf,The Wolf,,7.8,11.0
tt2133299,383079,Ogar - the Ugly,Ogar - the Ugly,,4.6,19.0
tt21347706,1003716,From.Beyond,From.Beyond,,6.8,82.0
tt21352664,1136076,Paranormal Surveillance Camera 14,Paranormal Surveillance Camera 14,,,
tt21352794,1136092,Paranormal Surveillance Camera: Return !,Paranormal Surveillance Camera: Return !,,,
tt21354090,1126637,Pollen,Pollen,"Horror, Mystery, Thriller",4.0,498.0
tt21357528,1128077,Other side,Other side,,,
tt21382986,1197297,Hidden Above 2: The Mystery Unfolds,Hidden Above 2: The Mystery Unfolds,,6.6,14.0
tt21417490,1330167,What Lurks Beneath,What Lurks Beneath,"Drama, Horror, Mystery",3.6,1178.0
tt21446320,1443096,La Forêt Sauvage,La Forêt Sauvage,,,
tt2150468,252374,The Boogeyman,The Boogeyman,,5.4,40.0
tt2151633,119255,"Gangsters, Guns and Zombies","Gangsters, Guns & Zombies","Comedy, Horror",3.9,835.0
tt2153616,455569,Funny Vampire,The Funny Vampire,"Comedy, Horror",6.2,26.0
tt2159916,1514338,Don't Go on the Trail,Don't Go on the Trail,Horror,6.6,18.0
tt21651560,1005776,V/H/S/99,V/H/S/99,Horror,5.2,11372.0
tt2165683,511923,Chloe and Attie,Chloe and Attie,Horror,,
tt2171981,73962,Mother Is a Whore,Mother Is a Whore,Drama,6.2,140.0
tt2173248,298833,Blood Ransom,Blood Ransom,"Drama, Fantasy, Horror",4.2,548.0
tt2175811,464248,Napoleon's Curse,Napoleon's Curse,,,
tt2177336,255754,Dead Kansas,Dead Kansas,"Adventure, Horror",4.2,1149.0
tt2179072,463770,Bloody Hooker Bang Bang: A Love Story,Bloody Hooker Bang Bang: A Love Story,,7.0,16.0
tt21799750,811086,Yellow Dragon's Village,Yellow Dragon's Village,"Action, Drama, Horror",5.7,183.0
tt2180333,137955,Crowsnest,Crowsnest,"Horror, Mystery, Thriller",3.9,1899.0
tt21816342,1412342,Dúbio: Não Há Luz Sem As Sombras,Dúbio não Há Luz Sem As Sombras,Horror,,
tt21818188,1013599,Blood Relatives,Blood Relatives,"Comedy, Horror",5.5,1064.0
tt21833608,1257826,Marbles,Marbles,,,
tt21833692,1166420,Turtle Soup,Turtle Soup,,,
tt21833886,1029659,Public Access Limited,Public Access Limited,,,
tt21842792,1208836,The Snow Drifter,The Snow Drifter,,,
tt21844528,1032910,It's Funny,It's Funny,,,
tt21845702,1355458,A Plague of Wasps,A Plague of Wasps,,,
tt2187099,1419125,Terror Vortex,Terror Vortex,Horror,3.6,26.0
tt2188833,266725,Ms. Cannibal Holocaust,Ms. Cannibal Holocaust,,4.1,128.0
tt2189752,258311,2012: Curse of the Xtabai,2012: Curse of the Xtabai,"Horror, Thriller",4.0,67.0
tt21905744,1016848,The Front Room,The Front Room,"Horror, Thriller",4.6,6807.0
tt21913192,1147322,12 to Midnight,12 to Midnight,"Action, Horror, Thriller",3.6,358.0
tt21937498,1033467,Shadowban,Shadowban,,8.0,5.0
tt2194028,483215,A Good Man,A Good Man,,8.3,53.0
tt2197626,129474,Motel 666,Motel 666,Horror,6.0,32.0
tt21978094,1443265,Wilderness,Wilderness,,8.6,19.0
tt21996484,1021591,Desconocido,Desconocido,,6.7,8.0
tt2199798,1602567,Our Devil's Night,Our Devil's Night,,7.3,18.0
tt22009484,1109400,Trip Upstate!,Trip Upstate!,,,
tt22029804,997741,Mangkujiwo 2,Mangkujiwo 2,Horror,5.6,187.0
tt2203865,683726,Perverse Conclave,Perverse Conclave,,5.8,9.0
tt2203909,88914,Sumpahan Kum Kum,Sumpahan Kum Kum,"Horror, Mystery, Thriller",5.4,70.0
tt2204394,1371856,Audition,Audition,,,
tt22051880,1029480,Cânn,Cânn,Horror,5.3,18.0
tt22052328,1236416,Wolves Against the World,Wolves Against the World,Horror,3.2,76.0
tt22061140,1041971,J. Daughter presents Scary Stories,J. Daughter presents: Scary Stories,Horror,3.2,43.0
tt22078586,741083,The Curse Of Medea,The Curse of Medea,Horror,4.4,88.0
tt2208248,415908,Machhli Jal Ki Rani Hai,Machhli Jal Ki Rani Hai,Horror,2.4,342.0
tt22085392,1015080,Satanic Hispanics,Satanic Hispanics,Horror,5.8,1770.0
tt22090212,1159256,Rosemary & Sage Turn Back Thyme,Rosemary & Sage Turn Back Thyme,Action,8.0,10.0
tt22095866,1029465,Huluween Dragstravaganza,Huluween Dragstravaganza,,5.5,395.0
tt22160098,1035188,Incomplete,Incomplete,,6.3,57.0
tt22173666,1029235,Azrael,Azrael,"Action, Horror",5.3,14270.0
tt2222150,200213,Killing Me,Killing Me,"Comedy, Crime, Drama",6.7,23.0
tt22247350,1213665,Mysterious! Unbelievable 1,Mysterious! Unbelievable 1,,,
tt22247912,1326468,Malice,Malice,Horror,3.0,58.0
tt22259668,1055206,The 12 Slays of Christmas,The 12 Slays of Christmas,,5.0,172.0
tt22262360,1228690,Mysterious! Unbelievable: The World You Don't Know,Mysterious! Unbelievable: The World You Don't Know,,,
tt2226557,1269520,Spankenstein,Spankenstein,,,
tt22307508,1214154,Mysterious! Unbelievable: Exorcism! Most Terrifying Spirit Photographs,Mysterious! Unbelievable: Exorcism! Most Terrifying Spirit Photographs,,,
tt22332804,1214543,Mysterious! Unbelievable: Gruesome! Photographs of Murder Scenes,Mysterious! Unbelievable: Gruesome! Photographs of Murder Scenes,,,
tt2233979,552950,Welcome to Mercy,Welcome to Mercy,"Drama, Horror, Mystery",4.8,1108.0
tt2235513,102316,Fear Eats the Seoul,Fear Eats the Seoul,"Drama, Horror, Thriller",9.1,67.0
tt2239368,1387945,The Lake,The Lake,,,
tt2241572,560864,Stand Alone: The Making of Halloween III: Season of the Witch,Stand Alone: The Making of Halloween III: Season of the Witch,,7.2,84.0
tt22440044,1207348,Alternate,Alternate,"Horror, Sci-Fi, Thriller",,
tt2246695,339225,Frankenstein's Patchwork Monster,Frankenstein's Patchwork Monster,Horror,8.4,18.0
tt2247748,180276,Chupacabra vs. the Alamo,Chupacabra vs. the Alamo,"Action, Fantasy, Horror",3.1,861.0
tt22478088,1045129,Damned Supper,Damned Supper,,,
tt22478450,1120467,Verification! Curse of 2CH,Verification! Curse of 2CH,,,
tt2248757,344357,Ghost Story,Ghost Story,Horror,6.1,69.0
tt22493538,1026819,The Hunted,The Hunted,"Horror, Thriller",5.0,723.0
tt2250082,1325856,Maxwell Edison,Maxwell Edison,,7.1,22.0
tt2250642,688842,Hotel,Hotel,,7.4,25.0
tt22533006,999869,Anacoreta,Anacoreta,Horror,4.0,123.0
tt2256725,1409902,La Dantesca Escena,La Dantesca Escena,,7.6,5.0
tt2257268,170075,Zygon: When Being You Just Isn't Enough,Zygon: When Being You Just Isn't Enough,,4.4,48.0
tt2260920,327028,Perseveration,Perseveration,Horror,4.8,65.0
tt2262554,257207,Boys from County Hell,Boys from County Hell,,7.4,54.0
tt22640784,1040821,House of Clowns,House of Clowns,Horror,3.3,128.0
tt2264774,470364,Horrific,Horrific,,5.3,121.0
tt2265345,1357769,Hell's Belles,Hell's Belles,,6.6,54.0
tt22686944,1332572,The Woman in the Room,The Woman in the Room,,,
tt2269122,191623,Görünmeyenler,Görünmeyenler,Horror,3.2,394.0
tt22753468,1373377,Night to Day,Night to Day,Horror,1.9,15.0
tt22768960,1420841,MESİR: Madman,MESİR: Madman,,,
tt2277834,410221,Dark Cove,Dark Cove,Thriller,5.5,1784.0
tt22780060,1059091,Camp Blood 666 Part 2: Exorcism of the Clown,Camp Blood 666 Part 2: Exorcism of the Clown,"Drama, Horror, Mystery",2.6,279.0
tt2279314,366071,Enchiridion,Bloodsuckers Handbook,"Animation, Drama, Horror",5.5,105.0
tt22795420,1220286,Contract,Contract,,8.5,11.0
tt2280986,613712,Shallow Creek Cult,Shallow Creek Cult,"Action, Horror, Thriller",4.1,103.0
tt22815452,1035798,Nightmare Radio: The Night Stalker,Nightmare Radio: The Night Stalker,Horror,3.6,383.0
tt2285527,519319,Kalung Jelangkung,Kalung Jailangkung,Horror,5.0,19.0
tt2285649,562619,Pocong Minta Kawin,Pocong Minta Kawin,"Comedy, Horror",8.1,21.0
tt2288886,294979,Play Hooky,Play Hooky,"Crime, Drama, Thriller",4.4,131.0
tt22890188,1161543,Closure Corps,Closure Corps,,,
tt22892622,1270515,Nage Utasamon sanban tegara: Fukumen dokurotai,Nageutasamon Sanban tegara: Fukumen dokurotai,\N,,
tt2292845,225587,Radio Silence,Radio Silence,"Horror, Thriller",5.1,460.0
tt22944410,1520031,The Silhouette,The Silhouette,,,
tt2299206,210913,Blood Glacier,Blood Glacier,"Horror, Mystery, Sci-Fi",5.4,4407.0
tt2301380,1561725,Secret Beach Party,Secret Beach Party,,,
tt23035872,917281,Into the Abyss,Into the Abyss,"Drama, Horror, Sci-Fi",4.5,556.0
tt23047944,1059357,Paperflower,Paperflower,,8.9,16.0
tt2308606,296438,The Morningside Monster,Attack of the Morningside Monster,"Horror, Mystery, Thriller",4.6,238.0
tt2308713,439404,Heba The Snake Woman,Heba The Snake Woman,,4.0,8.0
tt2308847,806895,No Ball Games,No Ball Games,,7.3,28.0
tt2309961,210947,Afflicted,Afflicted,"Horror, Mystery, Sci-Fi",6.2,27602.0
tt2309999,213476,House of Ghosts,House of Ghosts,Horror,4.7,198.0
tt2315360,1267054,The Heritage,The Heritage,,5.2,10.0
tt2316550,967633,Kuntilanak-Kuntilanak,Kuntilanak-Kuntilanak,Horror,4.9,23.0
tt2319813,452389,Cyclical Effect,Cyclical Effect,"Drama, Horror",7.4,68.0
tt23220994,1078780,Town Mall 2,Town Mall 2,Horror,6.5,19.0
tt2323804,316005,Gilgamesh,Gilgamesh,"Drama, Fantasy, Horror",3.2,147.0
tt23261676,1212416,The Haunting of Dalva House,The Haunting of Dalva House,Thriller,,
tt2328841,119471,Zombie 108,Call of the Undead,"Horror, Sci-Fi",3.3,1023.0
tt23302730,1560064,Young and Cursed,Young & Cursed,Horror,1.7,17.0
tt23317008,1206735,Flakkus,Flakkus,,9.0,9.0
tt2332857,273805,The Zombinator,The Zombinator,Horror,2.1,347.0
tt2333390,960586,Shortcake,Shortcake,,5.8,6.0
tt2345695,224301,Roadside Massacre,Roadside Massacre,Horror,2.4,525.0
tt23475348,1466829,Daisy,Daisy,Horror,,
tt23522578,1271250,Penumbra 2,Penumbra 2,"Horror, Sci-Fi, Thriller",,
tt2354196,115738,Million Dollar Crocodile,Croczilla,"Action, Adventure, Comedy",4.3,938.0
tt2354532,1267322,Prince Keo. The Robbery of the Mummy,Prinz Keo. Der Raub der Mumie,Drama,,
tt23552352,1153539,The Powers That Be,The Powers That Be,,3.5,9.0
tt2355462,279588,Cool As Hell,Cool as Hell,"Action, Comedy, Horror",3.7,145.0
tt23630180,1074242,Dirt,Dirt,,,
tt23633006,1098965,Sweet Relief,Sweet Relief,Horror,7.0,12.0
tt2363449,171277,The House Across the Street,The House Across the Street,"Horror, Thriller",3.2,295.0
tt2368606,328784,The Lost Tree,The Lost Tree,"Drama, Horror, Thriller",4.5,1562.0
tt2369275,380078,Boogeyman Cometh,Boogeyman Cometh,"Horror, Mystery, Thriller",4.2,106.0
tt2369573,263103,Zombie Hood,Zombie Hood,Horror,3.6,197.0
tt2377046,445671,Archie: A Wee Ghost Story,Archie: A Wee Ghost Story,,4.2,9.0
tt2377322,184346,Deliver Us from Evil,Deliver Us from Evil,"Crime, Horror, Mystery",6.2,90965.0
tt23777532,887379,Luz Mala,Luz mala,Horror,4.7,33.0
tt23779402,1543541,FUR,Fur,Horror,,
tt2378567,186743,Vampire Boys 2: The New Brood,Vampire Boys 2: The New Brood,Horror,2.6,327.0
tt23785676,1204883,Any Day,Un día cualquiera,"Horror, Thriller",4.5,42.0
tt23810926,1150508,"Urpus, leyendas de terror","Urpus, Leyendas de Terror",Horror,,
tt23869922,1546085,Mano Dura,Mano Dura,,,
tt2387020,386231,Pelt,Pelt,,6.3,11.0
tt23870832,1175182,Big Brood,Big Brood,Horror,5.0,52.0
tt2391440,472302,Mettle,Mettle,,,
tt23951388,1141993,Reprieve,Reprieve,,,
tt2397234,283112,It Happened One Weekend,It Happened One Weekend,Drama,3.9,33.0
tt2401215,207773,The Demon's Rook,The Demon's Rook,"Adventure, Fantasy, Horror",5.2,509.0
tt2401719,217596,Prague,Prague,"Horror, Mystery, Romance",5.5,393.0
tt24018636,1068952,Haunted Hotties,Haunted Hotties,,4.5,107.0
tt24020726,1276916,The Box,The Box,"Horror, Mystery, Thriller",3.4,96.0
tt2412746,179269,Revelation Road: The Beginning of the End,Revelation Road: The Beginning of the End,"Action, Drama, Thriller",4.6,2095.0
tt24131390,1134569,Fungus,Fungus,,8.1,12.0
tt24178920,1102247,Sergius Against Evil Spirits: Sabbath,Sergiy protiv nechisti. Shabash,"Action, Comedy, Horror",6.7,95.0
tt2419848,1647961,"Die, Develkok, Die!","Die, Develkok, Die!",Horror,,
tt2421316,415907,Stella Buio,Stella Buio,,6.7,9.0
tt24221742,1063439,Unborn Biru,Unborn Biru,,6.3,28.0
tt2431576,183661,Animus,Animus,"Horror, Thriller",2.7,609.0
tt2435148,97642,Tokyo Species,Tokyo Species,,3.4,192.0
tt2451688,157581,A Monster Among Men,Beast: A Monster Among Men,"Drama, Horror, Thriller",2.8,145.0
tt2456636,1328945,13 Days of the Beast,13 Days of the Beast,Horror,7.6,47.0
tt24578878,1313748,Oculus,Oculus,"Adventure, Drama, Horror",5.8,21.0
tt24640620,1113573,Judy’s Turn to Cry,Judy’s Turn to Cry,,,
tt2469236,1310383,Delver Glass,Delver Glass,,7.8,5.0
tt2474976,312831,The Hallow,The Hallow,"Fantasy, Horror, Thriller",5.7,20032.0
tt24759978,1072070,They Call Her Headhunter,They Call Her Headhunter,"Horror, Thriller",2.4,63.0
tt2477196,1318305,Prey,Prey,,5.8,6.0
tt2481878,173863,Absurd Encounter with Fear,Absurd Encounter with Fear,,5.6,1635.0
tt2492540,449463,Turtle Island,Turtle Island,"Horror, Thriller",3.8,140.0
tt2503344,356424,Sea Devil,Sea Devil,,5.7,157.0
