tmdb_id,vote_average,vote_count,popularity
378017,4.8,68,0.7087
551726,5.4,9,0.2936
499358,7.0,1,0.1462
501956,10.0,1,0.0524
211105,4.974,19,0.8407
519647,4.0,2,0.0913
1596403,10.0,1,0.0071
458832,2.0,2,0.0609
1562591,9.0,1,0.0794
83086,6.1,8,0.5675
321718,6.0,1,0.2971
1528737,10.0,1,0.767
967586,3.5,2,0.0725
1134569,4.0,1,0.0261
674382,10.0,2,0.0634
72153,4.4,51,0.7477
178875,5.0,34,0.9293
758105,7.0,1,0.0143
546217,3.0,1,0.0286
143877,6.25,24,0.4753
422400,7.0,4,0.2083
654798,4.3,3,0.4265
117978,5.268,149,0.6366
27527,4.1,13,0.6881
1286767,4.7,38,0.5005
491390,10.0,1,0.0579
164377,4.993,73,0.4939
75838,4.3,3,0.647
89810,4.0,11,0.3201
208182,4.2,8,0.597
107439,5.3,40,0.2528
1011049,7.0,1,0.0621
1062715,5.571,7,1.2068
1281755,5.3,3,0.4419
77444,4.8,47,0.326
424646,7.7,3,0.0682
155706,3.4,16,0.3832
85154,5.44,25,0.8581
48421,4.4,40,0.5353
17140,5.0,40,0.4978
335572,4.7,7,0.1379
355884,4.7,10,0.31
599781,3.5,10,0.149
316780,5.9,7,0.2414
1240188,10.0,1,0.0673
371238,4.8,15,0.6573
548511,4.8,28,0.6241
378727,7.0,3,0.155
647537,2.0,3,0.8953
262264,3.5,8,0.0486
322493,4.0,3,0.0887
110772,6.7,15,0.1486
1646950,5.2,7,1.9236
39263,5.5,108,1.3428
889470,4.8,4,0.1372
419174,7.0,3,0.1827
24928,4.1,12,0.1214
521458,10.0,1,0.0661
4883,5.67,112,1.2446
26515,6.4,535,3.2794
657815,4.0,2,0.1734
552681,2.6,9,0.3024
779,7.26,587,1.2997
75735,5.2,242,1.5437
1415382,4.4,9,0.2678
276692,5.1,7,0.414
135806,7.7,3,0.5239
718159,4.2,4,0.1935
705451,6.1,8,0.1223
224778,4.662,34,0.857
248426,4.1,20,0.438
