tconst,title,average_rating,num_votes
tt0074451,Plot of Fear,5.9,1024
tt0074670,Ilsa: Harem Keeper of the Oil Sheiks,5.0,3371
tt0074845,Mako: The Jaws of Death,4.3,1225
tt0075888,The Crater Lake Monster,3.6,1857
tt0076009,Exorcist II: The Heretic,3.8,30773
tt0076214,It Happened at Lakewood Manor,5.0,1788
tt0076299,The Last Wave,6.9,12374
tt0076809,Tentacles,3.8,4990
tt0076844,All The Souls... Except the Dead,5.7,492
tt0076878,Emanuelle and the White Slave Trade,4.4,996
tt0077394,Damien - Omen II,6.2,40022
tt0077571,The Forbidden,5.6,500
tt0078437,Last Cannibal World,5.9,4606
tt0079011,Crocodile Fangs,3.3,141
tt0079156,The Great Alligator,4.5,1650
tt0079714,Phantasm,6.6,44848
tt0080057,Zombie Flesh Eaters,6.8,33268
tt0080360,Altered States,6.9,42387
tt0080420,Bat Without Wings,6.1,252
tt0080450,Blow Job,5.0,219
tt0080464,The Boogey Man,4.7,5780
tt0080527,The Children,5.4,3315
tt0080603,Death Ship,4.8,6456
tt0080764,Macabre,5.8,3447
tt0080902,Human Experiments,4.6,1024
tt0080931,Nightmare City,5.6,7336
tt0081034,Last Rites,3.8,202
tt0081107,Mama Dracula,2.8,528
tt0081181,Morir de miedo,4.4,73
tt0081463,The Black Cat,3.8,14
tt0081467,Island of the Fishmen,5.3,2872
tt0081618,Terror on the Midnight Train,4.7,43
tt0081995,Island of the Evil Spirits,5.8,119
tt0082245,Deadly Blessing,5.5,7897
tt0082279,The Dorm That Dripped Blood,4.9,2779
tt0082559,Night of the Zombies,4.9,6584
tt0082565,The Intruder Within,4.7,609
tt0083001,Roar,6.1,5298
tt0083624,Basket Case,6.2,24062
tt0083976,Cries in the Night,5.1,2273
tt0084090,Inseminoid,4.0,4944
tt0084182,Julie Darling,6.0,1038
tt0084719,The New York Ripper,6.3,13888
tt0084735,A Stranger Is Watching,5.4,1013
tt0084956,Second Sight,5.8,89
tt0085253,Nightmare at Shadow Woods,5.8,6484
tt0085266,Boogeyman II,2.2,1318
tt0085628,Taoism Drunkard,6.2,455
tt0086343,Nothing Underneath,5.8,1801
tt0086541,Videodrome,7.2,112756
tt0086872,Prey,5.3,1783
tt0087015,C.H.U.D.,5.6,15445
tt0087106,Czech Mate,6.5,233
tt0087616,Monster Dog,4.4,1750
tt0087626,Lipstick and Blood,3.9,49
tt0088827,Blood Tracks,4.3,1163
tt0088958,Covenant,6.0,119
tt0089185,The Galaxy Invader,3.0,1593
tt0089308,Howling II: Stirba - Werewolf Bitch,3.8,9234
tt0089378,Making Contact,4.7,2072
tt0089630,Mr. Wrong,5.2,293
tt0089679,The New Kids,6.1,4753
tt0089845,Death in the Shadows,5.1,377
tt0090145,Tenement,5.5,1211
tt0090248,Vampire Hunter D,7.0,20250
tt0090837,Chopping Mall,5.6,20062
tt0090930,Demons 2,5.9,13262
tt0091020,Evil in the Woods,3.1,215
tt0091064,The Fly,7.6,223818
tt0091142,Gothic,5.7,9978
tt0091178,Haunted Honeymoon,5.7,8755
tt0091481,The Manor of Araucaima,6.8,290
tt0091566,Mr. Boogedy,6.5,2023
tt0091898,Scared Stiff,4.9,1066
tt0092676,Bloody New Year,4.5,2685
tt0092696,Bride of Boogedy,6.4,896
tt0092856,Death Nurse,3.7,322
tt0092870,Demon of Paradise,3.9,776
tt0092992,Evil Spawn,3.9,884
tt0093090,Ghosthouse,4.8,3304
tt0093554,Return of the Demon,5.7,74
tt0093805,The Seven Coffins,6.1,17
tt0093959,Shock! Shock! Shock!,5.8,110
tt0094070,Summer Camp Nightmare,5.4,1087
tt0094271,Violent Shit,2.9,1207
tt0094312,Der Werwolf von W.,7.0,11
tt0094849,Celia,6.8,1849
tt0094919,Critters 2,5.6,18374
tt0094929,Curse II: The Bite,4.9,1779
tt0094930,Curse of the Queerwolf,4.9,368
tt0095322,Hostile Takeover,5.2,265
tt0096073,The Seventh Sign,5.8,17062
tt0096136,The Twelve Months of the Summer,6.7,251
tt0096224,A Taste of Hemlock,6.9,24
tt0097456,Grave Secrets,4.6,662
tt0097620,Spirit vs. Zombie,4.7,14
tt0097673,Kitchen Sink,7.3,1278
tt0097749,"Liebe, Tod und Eisenbahn",7.3,52
tt0098502,The Toxic Avenger Part III: The Last Temptation of Toxie,4.4,6044
tt0098571,Urxa,5.0,16
