tconst,title,average_rating,num_votes
tt0131634,Vom Geist der Zeit,4.6,18
tt0133148,Beyond Love and Evil,5.4,134
tt0134808,The Divine One,7.2,54
tt0134914,Psycho Sisters,4.5,403
tt0135316,The Curse of Her Flesh,4.9,371
tt0135439,Khagi – Tragger,6.4,81
tt0138703,Phantasm IV: Oblivion,5.5,9144
tt0138797,King Cobra,3.3,2779
tt0139033,As Long as He Lives,6.7,49
tt0139220,Francorusse,6.2,20
tt0139621,A Son of Satan,6.2,26
tt0140581,The Suckling,4.7,1721
tt0142652,Love and Crime,6.4,185
tt0148532,Nightslave,4.0,33
tt0150429,Serial Killer Massacre,3.9,62
tt0150524,Fear No More,6.3,491
tt0152992,Eyewitness,5.8,134
tt0156100,St. Andrew's Girls,4.0,152
tt0156372,Blood Thirsty,3.7,356
tt0156413,The Clown at Midnight,4.4,2515
tt0156658,Junoon,5.6,747
tt0157102,Tender Flesh,3.8,602
tt0157197,The Worm Eaters,3.2,489
tt0157898,The King Kong That Appeared in Edo,6.0,70
tt0162128,13 Gantry Row,5.4,268
tt0162211,Deadly Instincts,3.2,1520
tt0162733,Vampire Holocaust,4.5,117
tt0163985,The Bride from Hades,7.2,514
tt0164192,Big Monster on Campus,4.8,1075
tt0166304,The Phantom of Regular Size,6.4,518
tt0166575,Dimension,7.6,15
tt0167284,Milo,4.2,1165
tt0168634,Dead Students Society,4.0,129
tt0169716,The Man to Kill,6.9,369
tt0171512,The Mask of Satan,4.9,482
tt0172340,The Doll's Revenge,6.5,244
tt0172794,Michael Angel,4.1,453
tt0173369,Tum Mere Ho,3.9,1112
tt0174441,Grandmothers Recharge Well!,5.9,166
tt0175702,The Hangman Waits,4.9,131
tt0175924,The Monkey's Paw,5.5,24
tt0178226,Alicia,5.6,371
tt0181724,Nocturno,6.5,56
tt0181845,A Holy Place,7.1,1459
tt0182406,Satan's Castle,5.9,22
tt0182996,Don't Go in the Woods,3.7,3939
tt0183070,The Phantom of the Operetta,4.4,37
tt0183344,Kauhun millimetrit,4.9,67
tt0183892,Armageddon,4.6,337
tt0187987,"Incredible, Fantastic, Extraordinary",6.5,16
tt0188016,Haunted Samurai,6.8,59
tt0189472,Demented,6.4,32
tt0189476,The Desire,7.4,51
tt0190012,Blood Slaves of the Vampire Wolf,3.2,99
tt0190232,All Night Long 3: The Final Chapter,5.4,469
tt0190402,The Force of Xango,6.6,27
tt0190739,Uneasy Encounters,6.9,44
tt0191244,The Legend of McCullough's Mountain,3.6,83
tt0191254,The Wolf of the Malveneurs,5.7,105
tt0192153,"Can I Be Your Bratwurst, Please?",5.1,297
tt0192731,Urban Legends: Final Cut,4.4,20267
tt0194949,The Horror,4.8,30
tt0195166,The Possession of Virginia,4.5,117
tt0196688,The Land of Shadows,1.1,70
tt0197499,Sinister Funeral,6.3,76
tt0197820,Revenge of Bigfoot,5.7,39
tt0200085,The Dream of Dr. Mišić,7.2,56
tt0201983,Thunder Ninja Kids: Hunt For The Devil Boxer,4.7,71
tt0202360,Frost,5.1,77
tt0202946,Ghost in the Well,6.6,79
tt0203139,Silent Predators,4.3,1286
tt0203635,Living Skeleton,6.3,935
tt0203726,The Necro Files,4.0,987
tt0204268,Destination Nightmare,5.1,55
tt0204388,Hookers in a Haunted House,3.6,118
tt0206076,Wailing In Hollow Valley,4.2,10
tt0206226,Psycho Beach Party,6.1,7488
tt0212064,The Colour of Blood,7.3,318
tt0212281,Kiss Me and Die,6.4,223
tt0212293,Lady Killer,7.0,478
tt0212303,Laughing Dead,5.4,112
tt0212429,A Place to Die,6.9,296
tt0212830,Bruiser,5.3,6956
tt0212867,Soulkeeper,4.9,1337
tt0214775,House No. 13,6.0,69
tt0215795,Ghost Stories: Graveyard Thriller,3.8,69
tt0216016,The Mysterious Retort,5.8,769
tt0216023,Nathalie: Escape from Hell,4.4,450
tt0216620,Christina's House,4.4,2596
tt0219409,The Wicked Witch Project,7.0,30
tt0219964,Outer Space,7.1,3172
tt0220884,Dark Harvest,4.8,23
tt0220964,The Afterman,5.0,276
tt0221015,Belphégor,7.7,189
tt0221069,Chasing Sleep,6.2,3800
tt0221097,Cry Baby Lane,5.3,488
tt0221401,Mirliton,6.2,7
tt0221803,Arcana,6.0,398
tt0222125,A Train of Ghosts,5.9,74
tt0223150,Door,6.4,835
tt0224394,The Widower,5.4,119
tt0226150,Three-Headed Tower,5.1,15
tt0228037,Attack Of The Bat Monsters,7.6,83
tt0228361,Woman in a Box: Virgin Sacrifice,5.2,176
tt0229440,Hellraiser: Inferno,5.4,20986
tt0230201,Extremism Breaks My Balls,4.7,67
tt0230206,Fearful Interlude,6.1,49
tt0230409,Ghost in the Regiment,6.3,43
tt0231950,Lal Bangla,5.5,22
tt0233004,Devil Story,3.7,985
tt0234267,Moray,4.6,32
tt0235245,Brain Twisters,3.5,614
tt0236283,Happy Hell Night,4.8,1423
tt0236693,The Roommates,5.3,436
tt0237304,Heaven Becomes Hell,4.1,30
tt0237610,The Prince of Terror,5.4,235
tt0237894,Video Violence Part 2,4.7,551
tt0238151,Deadly Sunday,4.1,77
tt0239577,Madame de Sade: She Beast in Hell,5.9,81
tt0240115,Toe Tags,3.9,55
tt0240736,Moonstalker,4.7,783
tt0241216,Codfish,4.9,127
tt0241371,Diabólicos Herdeiros,5.6,10
tt0241526,Hardcore Poisoned Eyes,4.6,152
tt0245262,Maria - Nur die Nacht war Zeuge,4.5,43
tt0245567,Witchcraft,3.4,970
tt0246231,Shredder Orpheus,5.2,243
tt0247642,The Door and the Butcher's Wife,6.4,159
tt0250392,A Fêmea do Mar,5.1,214
tt0251438,Travis,5.9,29
tt0251695,Faces of Gore 3,5.0,65
tt0253514,Purana Mandir,6.3,795
tt0254312,Naked Star,6.2,152
tt0254554,The Monster Kills in the Mansion of Terror,5.3,210
tt0255914,The Darkling,3.7,643
tt0256007,The Erotic Ghost,2.9,674
tt0258022,Wild Things,4.8,18
tt0259675,Tortured Females,3.8,183
tt0260293,The Curse,6.5,129
tt0260335,3D Saamri,5.1,145
tt0261725,Harpy,7.0,1160
tt0261983,Session 9,6.4,67084
tt0264675,Head Cheerleader Dead Cheerleader,3.8,271
tt0264897,Midnight Sun,5.0,12
tt0266073,Twilight Garden,4.1,19
tt0266234,Airline Stewardess Captured by a Sex-Sadist,4.1,16
tt0267253,Time Enough: The Alien Conspiracy,4.5,62
tt0267463,Empire of Madness,3.1,72
tt0267813,Papi Gudia,2.6,1104
tt0268101,03:00 A.M.,5.8,43
tt0268307,Flesh Meath Doll 1: Doll for Pleasure,4.3,28
tt0269276,Gilbert Harding Speaking of Murder,4.4,12
tt0269987,Troublesome Night 2,5.4,171
tt0270399,The Frame,6.9,56
tt0270720,The Drifter in the Rain,5.9,137
tt0270954,The Monster of Frankenstein,6.1,307
tt0271210,R.S.V.P.,5.1,1235
tt0271809,Suspended Animation,5.2,566
tt0271984,Bad Karma,3.3,792
tt0273144,The Castle of Mummies of Guanajuato,5.2,61
tt0273627,School of Fear,5.8,139
tt0273693,Jaws,8.1,124
tt0274541,Crazy Lips,5.4,488
tt0274763,Robbery of the Mummies of Guanajuato,5.3,79
tt0279727,The Chaperone,6.6,18
tt0280969,My Little Eye,5.4,13645
tt0281287,To Lay a Ghost,6.6,51
tt0282993,The Shadow of the Bat,5.6,49
tt0283553,Horror Hospital,8.2,25
tt0285808,The Snake Queen,6.3,99
tt0286168,Strawberry Spring,4.9,192
tt0286322,Troublesome Night,5.8,452
tt0287395,Dan Oniroku: Ikenie shimai,6.0,11
tt0288477,Ghost Ship,5.6,117068
tt0288634,The Monster Man,3.8,86
tt0288860,Vampiros Sexos,5.4,90
tt0288905,Zoom In: Sex Apartments,5.6,219
tt0289098,Bride of Monster Mania,7.0,82
tt0290244,El Miedo No Anda En Burro,6.4,158
tt0290246,La muerte acecha,7.0,11
tt0291230,Harvesters,4.0,163
tt0291518,Bondage Ecstasy,5.9,105
tt0291833,Cradle of Fear,4.2,3953
tt0292951,The Bare Wench Project 2: Scared Topless,3.7,331
tt0295700,Wrong Turn,6.1,145740
tt0298394,Killers 2: The Beast,3.6,333
tt0298900,Halloween... The Happy Haunting of America!,6.9,74
tt0298913,Hellgate: The House That Screamed 2,4.2,105
tt0301594,Evil Spirit,6.3,32
tt0302051,...ya no puede caminar.,6.4,162
tt0302531,Endangered Species,4.2,682
tt0303361,May,6.6,44314
tt0303732,Bloody Murder 2: Closing Camp,4.4,1516
tt0303773,Deadly Swarm,3.4,408
tt0305264,The Bagman,2.7,201
tt0306774,Junior,2.5,471
tt0308252,Fear of the Dark,5.3,3239
tt0308805,Repossessed,5.3,115
tt0312074,Scream,6.9,35
tt0312723,The Ghost of Sierra de Cobre,6.2,933
tt0316345,The Aliens and Kong Kong Zombie,4.7,19
tt0316441,The Provider,6.5,39
tt0317320,Daughter,6.0,264
tt0319010,Night Killer,5.3,24
tt0319532,"I, Asphyxia: The Electric Cord Strangler III",4.4,33
tt0319877,Mohanayanangal,3.3,14
tt0320098,The Human Beeing,7.2,54
tt0320329,Panic in the Forest,4.5,25
tt0320483,Snake Island,3.4,961
tt0321628,Chamber of Horrors,5.4,19
tt0322008,Terminal Invasion,5.0,2465
tt0322030,Dinosaur from the Deep,3.5,76
tt0322241,Fallen Angels,4.1,338
tt0324242,Three,6.1,4178
tt0325214,Curse of the Forty-Niner,3.7,1026
tt0325455,Gerorist,5.1,257
tt0329961,"5 Dark Souls, Part II: Roots of Evil",5.1,16
tt0330696,Night Creep,6.2,11
tt0332170,Kalliyankattu Neeli,6.0,16
tt0337526,The Desert,3.9,183
tt0338021,Beloved Sister,4.5,87
tt0338797,Vamps 2: Blood Sisters,4.6,155
tt0339531,Sasquatch Hunters,3.3,540
tt0339869,Voices of Desire,4.8,131
tt0341439,The Whip vs. the Killer Mummies,4.0,37
tt0341564,Scarecrow,3.6,1330
tt0342835,Nightstalker,3.4,1328
tt0342910,Puphedz: The Tattle-Tale Heart,6.9,47
tt0343644,Evelyn: The Cutest Evil Dead Girl,7.1,374
tt0347144,Happy Halloween,8.2,60
tt0347808,The Bloodstained Lawn,5.1,353
tt0348031,Silent Warnings,4.1,1522
tt0348062,"So, You've Downloaded a Demon",5.7,127
tt0348168,Tabi Tabi Po!,6.3,20
tt0349644,The Story of Jang-hwa and Heung-ryeon,4.9,39
tt0349835,Monsters,2.7,180
tt0352699,Parasite,2.7,753
tt0353351,Dhund: The Fog,2.9,352
tt0353605,Kalpana House,5.3,42
tt0353991,The Secret Cellar,4.3,193
tt0354502,Devil's Harvest,3.4,176
tt0356159,Hellbent,5.5,2918
tt0356571,Ee Bhargavi Nilayam,3.8,30
tt0359077,El chupacabras,4.5,48
tt0359672,Angelita's Eyes,7.9,24
tt0361661,Gongofer,6.1,510
tt0362443,Night Beast,4.4,26
tt0362544,Death 4 Told,2.7,419
tt0362808,Ichi the Killer: Episode Zero,5.8,909
tt0363768,Lightning Bug,6.4,1431
tt0363971,Shira: The Vampire Samurai,2.8,149
tt0364396,Hatchetman,3.5,641
tt0365653,Dinocroc,3.4,2104
tt0365685,The Revolting Dead,3.2,164
tt0366646,Journey Through the Night,5.8,22
tt0368356,The Legend of Sayo,7.5,28
tt0369226,Alone in the Dark,2.4,48447
tt0370082,Wishing Stairs,5.8,3478
tt0371926,Kyoko vs. Yuki,5.0,163
tt0371945,Red Room 2,5.0,532
tt0371949,Girl Hell,5.0,649
tt0375045,Scalp!,6.3,11
tt0375691,Day of the Reaper,3.9,235
tt0376625,Green Fingers,6.5,46
tt0377269,The Television Ghost,6.7,47
tt0377707,Crocodile,3.5,615
tt0377722,Daddy Cool,7.4,38
tt0378417,Night of the Living Dorks,5.6,3057
tt0380050,El virus del poder,5.5,16
tt0383543,Onmyoji II,6.0,646
tt0384544,Snuff,6.4,29
tt0387575,Seed of Chucky,4.9,54305
tt0387661,Urban Scumbags vs. Countryside Zombies,5.0,57
tt0388397,Scratch,5.8,19
tt0388831,A Thousand Year-Old Fox,6.3,113
tt0389353,The Snake Woman,5.6,18
tt0389360,Sea of Fear,2.7,646
tt0392331,Resident Demon,3.2,101
tt0393734,Shadows of the Dead,4.7,54
tt0396912,Una de zombis,4.6,567
tt0397101,The Skeleton Key,6.5,131536
tt0398012,Dead Meat,6.8,32
tt0398378,Vampires: The Turning,3.6,2126
tt0399160,The House of Chicken,5.9,25
tt0400347,Decoys 2: Alien Seduction,4.6,2713
tt0400667,Murder in the Heartland: The Search For Video X,4.6,104
tt0400881,The Testament of Tom Jacoby,7.2,22
tt0404075,The Ghosts of Angela Webb,5.6,82
tt0406320,The Vulture's Eye,3.4,106
tt0408256,The Tell-Tale Heart,7.1,32
tt0409380,Thinning the Herd,7.0,68
tt0409878,Demon Summer,3.1,182
tt0410332,August Underground's Mordum,3.0,4341
tt0412467,August Underground,3.5,4463
tt0412582,Chop Shop,2.5,70
tt0413669,Alien Factor 2: The Alien Rampage,3.7,217
tt0415348,Vampiyaz,1.9,325
tt0415729,Creepy Freaks,6.2,23
tt0415785,"Extreme Life & Death: The Blair Witches of Shockumentaries, Part One",4.0,18
tt0415855,Hotel,5.6,2187
tt0416045,The Blood-Stained Nun,3.7,18
tt0416267,Deadly Visions,4.5,316
tt0416474,Child of Darkness,5.1,44
tt0417017,No Return,5.0,88
tt0417096,Room,4.4,462
tt0417686,Forest of the Damned,2.9,1260
tt0418810,Kulimlim,6.2,25
tt0419080,Psycho-lettes,5.9,45
tt0419797,Harvest of Fear,3.8,295
tt0419868,The Creeping Hand,6.2,15
tt0420189,Silent Death,3.0,13
tt0420551,The Restaurant of Many Orders,6.6,307
tt0420660,Ghost House,6.2,504
tt0421879,Spirit of the Glass,5.5,70
tt0422370,Hellevator: The Bottled Fools,5.9,1238
tt0422372,GWAR: Dawn of the Day of the Night of the Penguins,8.1,43
tt0424298,Nache Nagin Gali Gali,5.7,58
tt0427324,Hades: Life After Death,6.0,37
tt0427387,In Love with Death,6.0,39
tt0428390,Severed,4.5,2251
tt0430082,Feng Shui,6.5,1195
tt0431176,Woman Despiser,6.5,99
tt0431273,Mr. Eryams,6.2,37
tt0431447,Unseen Evil 2,2.6,770
tt0432348,Saw II,6.6,296519
tt0433979,Detained,6.7,71
tt0435779,Woods of Evil,2.5,169
tt0436241,The Daytime Representative,6.2,42
tt0436498,Gangs of the Dead,3.4,1028
tt0437150,Deadwood Park,4.7,533
tt0437211,Half Life,6.5,66
tt0438314,The Path of Evil,3.9,203
tt0440581,Leyendas de amor y muerte,5.5,15
tt0440689,Female Harakiri: Glorious Death,5.1,59
tt0441041,Legion of the Dead,2.8,1285
tt0441105,Anakolut,3.9,19
tt0441624,Bats in the Belly,6.4,35
tt0444695,Stereotypes Don't Just Disappear Into Thin Air,3.0,138
tt0447680,Pavilion 22,4.7,82
tt0449308,The Bewitched House,7.0,1834
tt0449495,Carmilla,5.7,22
tt0450843,Satan,5.6,9954
tt0451957,Urban Legends: Bloody Mary,4.2,10357
tt0452197,Diyablo - sagrado,7.4,17
tt0452794,Hour of Fear,5.6,80
tt0453543,Scar,3.2,347
tt0454953,SnakeMan,2.9,1139
tt0456150,Mulva 2: Kill Teen Ape!,3.4,238
tt0458728,Scream at Night,5.1,84
tt0460485,KM 31: Kilometer 31,5.3,3820
tt0460878,Domain of the Damned,3.8,101
tt0462343,Hospitality,5.1,47
tt0462475,Penny Dreadful,5.9,592
tt0462485,Poultrygeist: Night of the Chicken Dead,6.0,9900
tt0462516,Satan Hates You,4.1,259
tt0464103,Making a Monster Movie: Inside 'the Howling',5.4,24
tt0466717,Cannon Fodder,7.3,28
tt0468774,Tales of Terror from Tokyo and All Over Japan: The Movie,5.7,451
tt0470055,Open Water 2: Adrift,5.2,21214
tt0470364,The Painted Skin,6.7,77
tt0470993,Crazy Eights,3.8,3477
tt0471041,The Tournament,6.0,37130
tt0471765,"God's Left Hand, Devil's Right Hand",5.3,165
tt0473738,Awakening,2.3,288
tt0474545,Devil's Child,6.0,29
tt0474963,Tomie: Revenge,3.9,331
tt0475261,Emily and the Baba Yaga,6.0,29
tt0475338,Final Remains,3.3,151
tt0478125,Creepshow 3,3.2,6509
tt0478329,The Gray Man,5.9,1962
tt0478582,Witching Hour,5.4,39
tt0478764,Blood Legend,2.5,208
tt0478976,Bad Reputation,4.1,989
tt0479907,Experiment 17,6.3,69
tt0480049,Vampyre Tales,5.8,27
tt0480257,Open Cam,4.6,439
tt0480524,Detour Into Madness Vol 1.,6.9,57
tt0481592,Night,3.2,186
tt0482351,Beastly Boyz,2.5,314
tt0483615,Facility 4,7.4,33
tt0484090,Alone,6.4,6180
tt0484175,The Last House in the Woods,4.6,1198
tt0485376,Dark Corners,4.9,2794
tt0487759,Sex Medusa,3.1,129
tt0488433,The Public Cemetery Under the Moon,5.9,113
tt0488962,Big Bad Wolf,5.2,3006
tt0489235,My Name Is Bruce,6.1,26179
tt0490236,The Invited,4.1,383
tt0491063,Motor Home Massacre,2.8,707
tt0492502,Wide Awake,6.6,661
tt0493027,Moonshine,7.3,93
tt0495117,Tenderloin,3.3,23
tt0495169,The Nutzoids at Cannibal Cove,3.5,28
tt0498409,Robin Redbreast,7.2,672
tt0498813,Girl's Dormitory,5.1,735
tt0601977,La bodega (1ª parte),6.8,82
tt0717423,Tales of the Unexpected: A Picture of a Place,6.5,278
tt0737254,Lost Property,7.7,9
tt0757933,Sukob,6.1,801
tt0760187,The Tripper,5.0,6622
tt0760319,Night Feeders,4.6,432
tt0765481,The Thirsting,2.9,327
tt0770739,Dead and Deader,4.7,1661
tt0780495,Cool Air,4.2,874
tt0780622,Teeth,5.4,49472
tt0783493,Chiseled,4.6,63
tt0783736,I Am the Ripper,2.8,152
tt0795457,S.S. Doomtrooper,2.5,1355
tt0795916,Carmilla: The Petrified Heart,6.3,9
tt0799973,A Candle in the Dark,3.4,94
tt0801344,The Monster of Phantom Lake,5.2,241
tt0802948,An American Crime,7.2,39794
tt0805640,Vacuum Killer,4.3,207
tt0806008,36 Steps,4.6,359
tt0807714,Inside the Graveyard,6.1,18
tt0808067,Tales of Terror from Tokyo and All Over Japan Volume 1,5.9,193
tt0808276,Cold Prey,6.2,21084
tt0808303,Holla if You Hear Me,4.8,33
tt0810435,The Haunted Lantern,6.1,87
tt0810892,The Haunted Airman,4.4,2229
tt0810895,Hellboy Animated: Sword of Storms,6.4,5413
tt0813629,The Listening Dead,7.2,152
tt0814250,Path of Darkness: Making 'Silent Hill',7.3,208
tt0814329,Lonely Water,7.1,383
tt0815094,Against,6.8,21
tt0815258,Werewolf in a Women's Prison,4.5,688
tt0816539,Jack Brooks: Monster Slayer,5.9,6887
tt0820879,Faustbook,6.9,74
tt0820914,Left for Dead,4.0,686
tt0821008,Serial,7.3,32
tt0821127,A Catastrophe in Hester Street,4.0,43
tt0821436,Before I Die,3.2,89
tt0826052,The Diabolical Dr. Flak,5.7,20
tt0828100,Dating a Vampire,3.5,120
tt0828455,Stoned Dead,5.2,21
tt0833098,The Screwfly Solution,6.3,2821
tt0837152,Knight of the Peeper,4.6,64
tt0839873,Killer Toilet from Outer Space,6.2,28
tt0840348,Miyuki,6.0,50
tt0841993,Apartment 1303,4.7,2022
tt0842730,The Flemish Vampire,3.3,52
tt0843102,The Red Room Riddle,6.7,61
tt0844746,Panic,6.5,157
tt0847520,Scar,4.1,3062
tt0853190,BAGMAN Profession: Meurtrier,7.1,718
tt0858477,Septem,5.8,56
tt0859727,White Snake Woman,6.5,19
tt0861773,Ghost in a Teeny Bikini,4.1,732
tt0863065,Dead in the Water,2.8,137
tt0863095,Satan's Whip,2.8,168
tt0867286,Eye of the Beast,4.3,1616
tt0870992,Cyclops,5.5,307
tt0875613,Rift,2.7,495
tt0875695,The Iceman and the Psychiatrist,7.7,1522
tt0876109,An Erotic Werewolf in London,3.6,305
tt0882987,Gritos en el pasillo,6.4,242
tt0887261,Hellraiser,5.9,55494
tt0896900,Akai,5.7,49
tt0897361,I Know Who Killed Me,3.6,32243
tt0899222,Silent Horror,5.9,31
tt0900381,Trackman,4.1,1047
tt0900945,Kamay ni Satanas,6.7,14
tt0902262,Butchered,3.4,386
tt0905381,Zombies By Design,4.9,60
tt0907301,The Wind of Fear,4.4,768
tt0910548,Cannibal,4.8,1765
tt0924518,XII,4.3,651
tt0927615,4 Horror Tales: Dark Forest,4.1,328
tt0934870,One Night in One City,6.9,461
tt0937231,Muoi: The Legend of a Portrait,5.7,1173
tt0940503,Cadaverella,3.3,212
tt0945564,The Haunting of Marsten Manor,3.5,309
tt0949894,Demon Monkey,5.1,13
tt0960842,The Shiftling,5.0,60
tt0963985,GoreGoyles 2: Back To The Flesh,3.3,130
tt0969292,Little Red Devil,4.4,121
tt0972362,Blood Oath,3.6,201
tt0973809,Headhunter: The Assessment Weekend,3.4,270
tt0976160,Pieces of Darkness,3.6,39
tt0981050,The Monster of the Well,7.4,31
tt0981224,Midnight Movie,5.1,4514
tt0984187,Demon's Claw,4.9,81
tt0985060,Night Crawlers,3.8,219
tt0997218,Forest of the Dead,2.7,143
tt10006382,She Must Vanish,5.4,43
tt10009030,Snatchers,5.9,3795
tt10022716,Howard’s Mill,5.9,1497
tt1002974,Dead Country,2.4,163
tt1002993,The Enchanted Chamber,7.2,14
tt10037014,Fear of Rain,6.0,11291
tt10066974,The Calling of the Things Beyond,8.8,28
tt1006924,The Nebula Dawn,4.9,25
tt10070730,Rise of the Machine Girls,4.9,324
tt10073018,The Game,6.0,9
tt1007977,Hiena,5.2,104
tt10080790,The Omen in Devil Town,4.8,9
tt10102448,Puzzle,6.9,21
tt10109972,Sleep Tight,6.8,26
tt10110646,Alien: Containment,6.1,1249
tt10133638,Hammurabi,6.1,63
tt10158688,Jameen Kottai,6.9,24
tt10163288,Kajeng Kliwon,5.6,44
tt1018705,Curse of La Llorona,3.2,50
tt10188152,5ive Must Die,2.3,128
tt1019412,Mommy's House,6.3,43
tt10221386,Cova Humana,6.1,7
tt1022513,Train of the Dead,3.6,414
tt10229602,The Entity,4.9,405
tt1023456,A House of Mad Souls,2.1,65
tt10262428,Night Bus,5.8,47
tt10264296,The Gate Nothing Is Coming,5.4,13
tt10265812,Lili,7.1,155
tt10283500,Green Cobra,6.3,10
tt10301066,Ferine,6.0,46
tt10315034,Lonely Hearts,8.6,16
tt10331140,Evil Little Things,3.6,456
tt10332010,Stephanie,8.9,10
tt10332866,Bloodshed,8.0,8
tt10333714,Love Bite,7.1,27
tt10334998,Remy's Demons,3.4,19
tt1034306,Dorothy Mills,6.0,6238
tt10365998,Infinity Pool,6.0,73453
tt10369866,Ten Minutes to Midnight,4.4,873
tt1037229,Samurai Zombie,4.9,271
tt10374610,The Long Walk,6.7,111356
tt10396024,Rope and Boys 2: Boy Hell's Messenger,6.0,10
tt1039646,The Tomb,1.5,1156
tt10409900,Kamarottu Checkpost,5.2,51
tt10422110,Banal,4.4,85
tt1042910,"Shake, Rattle and Roll 9",5.4,111
tt10434950,Ghost Sword,2.9,11
tt1043585,Zombies: The Beginning,3.7,533
tt1043877,X-Cross,5.8,730
tt10473028,Night,6.4,21
tt10482206,Necroman,4.9,53
tt1049403,Marco Polo,5.6,85
tt1050166,Motocross Zombies from Hell,1.7,411
tt1051915,Resonnances,4.8,93
tt10521492,Satanic Panic '87,6.0,80
tt10530050,Killer Zombie,8.4,15
tt10535288,Hanako of the Toilet,5.6,8
tt1053859,The Grudge 3,4.6,20747
tt1054115,Manhunt,5.1,4630
tt10542492,Unboxed,2.6,164
tt10558946,Double Bill (Blood Oaks/Sex Demon),8.2,11
tt10560846,Rapunzels Fluch,3.2,368
tt10579966,Butchered,7.6,19
tt10585038,Bhoot Chaturdashi,3.4,262
tt10623746,Murderart,6.0,6
tt10643906,Lorong,6.0,36
tt1068251,Hantu Jeruk Purut,4.8,73
tt10689780,Totem,5.3,72
tt1071902,Blood Scarab,3.6,346
tt1071972,Wingrave,4.1,44
tt10722406,Come Play With Me,4.9,491
tt1072754,Messages Deleted,4.9,2309
tt1076822,Satan in Her,5.7,14
tt10772310,Dibbuk,7.6,53
tt10799024,The Mermaid,7.8,35
tt1080767,Sukeban Boy,5.0,530
tt10809934,The Dark Days of Demetrius,6.6,84
tt1082807,The Belko Experiment,6.2,66915
tt1082868,Quarantine,6.0,83345
tt1084043,Stricken,6.4,23
tt1084733,Necessary Evil,3.0,516
tt1084735,Female High-School Student Squadron vs. Rippers,4.2,8
tt10851684,Martin's Close,5.8,586
tt10873360,The Happy Pill,7.8,8
tt1087445,Beyond Remedy - Jenseits der Angst,2.9,291
tt1087461,Megan Is Missing,4.6,20909
tt1091869,Zombie Cheerleader Camp,2.5,188
tt10928284,Blood Eagle,5.7,54
tt1093394,The Vampire Combat,4.9,48
tt1093906,The Rig,3.3,2318
tt1094988,Altar,5.6,29
tt10958264,I Don't Believe You Died,4.8,13
tt10959454,Bloody Summer Camp,3.8,834
tt10961976,Some Be,4.1,50
tt10973466,The Longest Night,5.1,213
tt10978584,Maniac Driver,4.7,196
tt1098201,Tag der Teufel,3.8,38
tt10985628,Conspiracy Cruise,6.8,44
tt10988950,Inferno,6.2,75
tt10990970,Ouija Craft,3.1,265
tt1099199,"Flesh, TX",2.7,412
tt11005908,"Momma, Don't Go",7.2,34
tt1101048,Thirst,4.5,927
tt11013850,Kelam,5.0,41
tt11023192,Gray Matter,7.9,42
tt11024142,Ennaval,8.7,35
tt11045972,Cold Feet,4.2,151
tt11057180,Sleepwalker,5.7,39
tt11058740,Bigfoot Girl,2.9,111
tt1107397,Lockjaw: Rise of the Kulev Serpent,2.4,714
tt11086004,Family History,6.8,24
tt1110059,Pop Skull,5.3,497
tt1110068,The Wailer 2,4.2,115
tt1111831,Stash,3.0,443
tt11132850,Dark Zone Thirteen,6.0,19
tt11141726,Meta,6.8,12
tt11156986,Cult Following,4.3,890
tt1117542,ZombieWestern: It Came from the West,6.6,124
tt11188624,Seance,5.2,5000
tt11197464,Bitter Taste of Ginger,4.2,17
tt11198666,Two Little Boys,7.4,255
tt11204144,CCTV,7.7,8
tt1122775,Rosencrantz and Guildenstern Are Undead,5.0,858
tt1122836,Alien Trespass,5.8,4584
tt11229872,Metod,8.6,5
tt11258272,Neighborliness,6.6,13
tt11261830,The Retaliators,5.3,2752
tt1127215,The Devil's Mercy,3.4,380
tt11274434,Spook Train: Room Two – Cell-X,7.2,48
tt11282140,Otherwise,8.1,10
tt11284280,Cadaver,5.2,13521
tt11306480,Don't Suck,4.1,511
tt11320192,The Evil Next Door,5.2,2995
tt11348542,Agnes,3.8,2066
tt11358138,The Purgamentum,5.6,8
tt11366004,Highgate House of Horror,7.4,21
tt1136833,Bukarest Fleisch,4.8,177
tt11370514,When The Earth Gives Up The Dead,6.4,18
tt11388804,Our Boy,5.0,15
tt1139324,Night of Terror,5.8,45
tt11400902,A Banquet,4.7,1669
tt11406704,Detached,6.2,8
tt11423002,Tarian Lengger Maut,4.8,84
tt11428972,Humraz: Cin Tarikatı,4.0,44
tt11430948,Bloodthirst,3.6,1258
tt11441032,Cherry Blossom Sunset at Hidaka,4.6,18
tt11477298,El Hareth,4.0,383
tt11481394,Processing,6.9,18
tt11481912,Sleepwalker,6.1,19
tt11505682,Babysitter Must Die,4.3,1074
tt1151919,Stormy Night,2.5,447
tt11521902,The Teddy Bear's Picnic,6.9,34
tt11529756,REM,4.2,21
tt1153104,The Mystery of the Lake,4.8,50
tt1153546,BloodRayne: The Third Reich,3.0,7209
tt11542194,Kaaal,4.7,1668
tt11548506,The Doe,5.4,26
tt11567800,Spacca La Testa,7.6,13
tt1158236,Codex Atanicus,8.0,84
tt11599788,Bakemono,6.0,105
tt11600082,Subconscious,5.6,15
tt1160703,Kindachi Kosuke: The Devil Comes and Blows the Whistle,5.7,20
tt11609250,Backwoods Bubba,5.2,117
